Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_65,VGND,li1,36.1100,54.4000,0.000055
FILLER_16_57,VGND,li1,31.9700,54.4000,0.000045
FILLER_16_54,VGND,li1,31.0500,54.4000,0.000040
FILLER_16_51,VGND,li1,29.6700,54.4000,0.000040
FILLER_16_32,VGND,li1,20.7000,54.4000,0.000030
FILLER_16_29,VGND,li1,19.5500,54.4000,0.000030
FILLER_16_26,VGND,li1,17.9400,54.4000,0.000030
FILLER_16_11,VGND,li1,11.0400,54.4000,0.000031
FILLER_15_133,VGND,li1,66.9300,54.4000,0.000088
FILLER_15_130,VGND,li1,66.0100,54.4000,0.000088
FILLER_15_106,VGND,li1,54.5100,54.4000,0.000086
FILLER_15_103,VGND,li1,53.5900,54.4000,0.000085
FILLER_15_100,VGND,li1,52.2100,54.4000,0.000085
FILLER_15_97,VGND,li1,50.8300,54.4000,0.000084
FILLER_15_94,VGND,li1,49.4500,54.4000,0.000084
FILLER_15_77,VGND,li1,41.4000,54.4000,0.000066
FILLER_15_74,VGND,li1,40.2500,54.4000,0.000061
FILLER_15_54,VGND,li1,30.8200,54.4000,0.000040
FILLER_15_51,VGND,li1,29.6700,54.4000,0.000040
FILLER_15_48,VGND,li1,28.2900,54.4000,0.000034
FILLER_15_45,VGND,li1,26.9100,54.4000,0.000034
FILLER_15_42,VGND,li1,25.5300,54.4000,0.000029
FILLER_15_31,VGND,li1,20.4700,54.4000,0.000030
FILLER_15_28,VGND,li1,19.0900,54.4000,0.000030
FILLER_15_25,VGND,li1,17.7100,54.4000,0.000030
FILLER_14_133,VGND,li1,66.9300,48.9600,0.000036
FILLER_14_130,VGND,li1,66.0100,48.9600,0.000036
FILLER_14_121,VGND,li1,61.4100,48.9600,0.000035
FILLER_14_112,VGND,li1,57.2700,48.9600,0.000034
FILLER_14_109,VGND,li1,56.3500,48.9600,0.000033
FILLER_14_106,VGND,li1,54.9700,48.9600,0.000033
FILLER_14_103,VGND,li1,53.5900,48.9600,0.000033
FILLER_14_100,VGND,li1,52.2100,48.9600,0.000033
FILLER_14_97,VGND,li1,50.8300,48.9600,0.000032
FILLER_14_94,VGND,li1,49.4500,48.9600,0.000032
FILLER_14_85,VGND,li1,45.3100,48.9600,0.000029
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000029
FILLER_14_74,VGND,li1,39.7900,48.9600,0.000025
FILLER_14_71,VGND,li1,38.8700,48.9600,0.000025
FILLER_14_68,VGND,li1,37.4900,48.9600,0.000023
FILLER_14_59,VGND,li1,33.1200,48.9600,0.000019
FILLER_14_56,VGND,li1,31.9700,48.9600,0.000017
FILLER_14_53,VGND,li1,30.5900,48.9600,0.000017
FILLER_14_50,VGND,li1,29.2100,48.9600,0.000016
